Key,en,es,ar
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al panel,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم
Back to,Back to,De regreso,ارجع الى
KYC Information,KYC Information,Información KYC,معلومات KYC
title text--warning,title text--warning,texto del título: advertencia,نص العنوان-تحذير
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Balance Update From Admin,Balance Update From Admin,Actualización de saldo desde el administrador,تحديث الرصيد من المشرف
No Record Found!,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!
Disable,Disable,Desactivar,إبطال
t login in your account.,t login in your account.,No inicie sesión en su cuenta.,تسجيل الدخول في حسابك.
Enable,Enable,Permitir,يُمكَِن
d-block text-center,d-block text-center,centro de texto del bloque d,د- كتلة مركز النص
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
last,last,último,آخر
Payable Amount,Payable Amount,Cantidad a pagar,المبلغ المستحق
Money Out Log,Money Out Log,Registro de salida de dinero,سجل خروج الأموال
Services,Services,Servicios,خدمات
Web Journal,Web Journal,Diario Web,مجلة الويب
Contact Us,Contact Us,Contáctenos,اتصل بنا
Don't Have An Account,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
Identity Verification,Identity Verification,Verificación de identidad,التحقق من الهوية
Collect Payment With Link,Collect Payment With Link,Cobrar pago con enlace,جمع الدفع مع الرابط
Total Payment Link,Total Payment Link,Enlace de pago total,رابط الدفع الإجمالي
Total Invoice,Total Invoice,Total de la factura,إجمالي الفاتورة
"Payment Link, Invoice & Low Payment","Payment Link, Invoice & Low Payment","Enlace de pago, factura y pago bajo",رابط الدفع والفاتورة والدفع المنخفض
Card Payment,Card Payment,Pago con tarjeta,بطاقه ائتمان
Payment Method,Payment Method,Método de pago,طريقة الدفع او السداد
Sender Full Name,Sender Full Name,Nombre completo del remitente,الاسم الكامل للمرسل
Your email added to our newsletter,Your email added to our newsletter,Su correo electrónico agregado a nuestro boletín,تمت إضافة بريدك الإلكتروني إلى نشرتنا الإخبارية
Something went wrong!. Please try again.,Something went wrong!. Please try again.,¡Algo salió mal!. Inténtalo de nuevo.,هناك خطأ ما!. حاول مرة اخرى.
Your message submitted,Your message submitted,Su mensaje enviado,تم إرسال رسالتك
Oops! Language not found,Oops! Language not found,¡Ups! Idioma no encontrado,أُووبس! لم يتم العثور على اللغة
Language switch successfully,Language switch successfully,Cambio de idioma con éxito,تبديل اللغة بنجاح
Requested with invalid token,Requested with invalid token,Solicitado con token no válido,تم الطلب باستخدام رمز مميز غير صالح
Closed,Closed,Cerrado,مغلق
Paid,Paid,Pagado,مدفوع
Unpaid,Unpaid,No pagado,غير مدفوعة الأجر
Draft,Draft,Borrador,مسودة
Pending,Pending,Pendiente,قيد الانتظار
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Rejected,Rejected,Rechazado,مرفوض
Give customers more detail about what they're paying for.,Give customers more detail about what they're paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.
Collecting Payment Platform,Collecting Payment Platform,Plataforma de Cobro de Pagos,جمع منصة الدفع
Customer Email,Customer Email,Correo electrónico del cliente,البريد الإلكتروني للعميل
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل
Limit,Limit,Límite,حد
"Ex: Transaction, Add Money","Ex: Transaction, Add Money","Ej: transacción, agregar dinero",على سبيل المثال: المعاملة، إضافة المال
this screen,this screen,esta pantalla,هذه الشاشة
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Remove,Remove,Eliminar,يزيل
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف
Solved,Solved,Resuelto,تم حلها
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
Write Here,Write Here,Escribe aquí,اكتب هنا
Type Here,Type Here,Escriba aquí,أكتب هنا
Developed by,Developed by,Desarrollado por,طورت بواسطة
SMS Sending Failed! Please try again.,SMS Sending Failed! Please try again.,¡Falló el envío de SMS! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.
Are you sure to mark as solved,Are you sure to mark as solved,¿Estás seguro de marcar como resuelto?,"هل أنت متأكد من وضع علامة ""تم الحل""."
Token,Token,Simbólico,رمز مميز
Because it's not reversable,Because it's not reversable,Porque no es reversible,لأنه غير قابل للعكس
Write something,Write something,Escribe algo,أكتب شيئا
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
Mobile,Mobile,Móvil,متحرك
Enter Number,Enter Number,Ingresar número,أدخل رقم
Company Name,Company Name,nombre de empresa,اسم الشركة
Enter Company Name,Enter Company Name,Introduzca el nombre de la empresa,أدخل اسم الشركة
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة
Enter State,Enter State,Ingresar estado,إدخال الدولة
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter your name,Enter your name,Introduzca su nombre,أدخل أسمك
Enter your message,Enter your message,Ingrese su mensaje,أدخل رسالتك
Transactions AndLogs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Payment Link Logs,Payment Link Logs,Registros de enlaces de pago,سجلات رابط الدفع
Transaction Logs,Transaction Logs,Registros de transacciones,سجلات المعاملات
All Invoice,All Invoice,Toda la factura,كل الفاتورة
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC
Service Section,Service Section,Sección de Servicio,قسم الخدمة
Search,Search,Buscar,يبحث
Collecting Payment With Link,Collecting Payment With Link,Cobro del pago con enlace,تحصيل الدفع عن طريق الرابط
Collecting Payment With Invoice,Collecting Payment With Invoice,Cobro del pago con factura,تحصيل الدفع مع الفاتورة
Profit,Profit,Ganancia,ربح
"Payment Link, Invoice And Money Out Analytics","Payment Link, Invoice & Money Out Analytics","Enlace de pago, análisis de facturas y retiros de dinero",رابط الدفع، تحليلات الفواتير والأموال
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
View Invoice,View Invoice,Mirar la factura,عرض الفاتورة
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!
Role,Role,Role,دور
Details,Details,Detalles,تفاصيل
Write Subject,Write Subject,Escribir Asunto,كتابة الموضوع
Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Ups! No se pudo enviar el correo. Vuelva a verificar sus credenciales de correo o reconfigure el correo.,أُووبس! فشل في إرسال البريد. يرجى إعادة التحقق من بيانات اعتماد البريد الخاص بك أو إعادة تكوين البريد
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!
Can\'t assign,Can\'t assign,No se puede asignar,لا يمكن التعيين
Oops! Failed to upload image.,Oops! Failed to upload image.,¡Ups! No se pudo cargar la imagen.,أُووبس! فشل تحميل الصورة.
Role assign Failed!,Role assign Failed!,¡Error en la asignación de roles!,فشل تعيين الدور!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Oops! Target admin not found!,Oops! Target admin not found!,¡Ups! ¡Administrador objetivo no encontrado!,أُووبس! لم يتم العثور على المشرف المستهدف!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
SL NO,SL NO,SI. NO,SL. لا
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور
Admin not found!,Admin not found!,Administrador no encontrado!,لم يتم العثور على المشرف!
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Opps! Target role not found!,Opps! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,انتبه! لم يتم العثور على الدور المستهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Target role not found!,Target role not found!,¡Rol objetivo no encontrado!,لم يتم العثور على الدور المستهدف!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,La función de superadministrador no se puede eliminar.,لا يمكن حذف دور المشرف المتميز.
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Select Role,Select Role,Seleccionar rol,حدد الدور
Choose One,Choose One,Elige uno,اختر واحدًا
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos de este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيتم أيضًا حذف كافة الأذونات مقابل هذا الدور.
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!
URI,URI,URI,URI
Select Pages,Select Pages,Seleccionar páginas,حدد الصفحات
Are you sure to delete this permission,Are you sure to delete this permission,¿Estás seguro de eliminar este permiso?,هل أنت متأكد من حذف هذا الإذن
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Can\'t deletable system super admin,Can't deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
App Version,App Version,Version de aplicacion,نسخة التطبيق
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!
Disabled,Disabled,Desactivado,عاجز
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
FIAT,FIAT,FÍAT,فيات
CRYPTO,CRYPTO,CRIPTO,تشفير
Option,Option,Opción,خيار
Optional_web,Optional,Opcional,خياري
Default currency make Failed! Please try again.,Default currency make Failed! Please try again.,¡Falló la creación de moneda predeterminada! Inténtalo de nuevo.,فشل عمل العملة الافتراضية! حاول مرة اخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
Image file upload Failed!,Image file upload Failed!,¡Falló la carga del archivo de imagen!,فشل تحميل ملف الصورة!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,No se puede eliminar la moneda predeterminada.,لا يمكن حذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!
Crrency Name,Crrency Name,Nombre de moneda,اسم العملة
Crrency Code,Crrency Code,Código de moneda,رمز العملة
Crrency Symbol,Crrency Symbol,Símbolo de moneda,رمز العملة
Exchange Rate Updated Successfully!,Exchange Rate Updated Successfully!,¡Tipo de cambio actualizado exitosamente!,تم تحديث سعر الصرف بنجاح!
Extension has been update successfully,Extension has been update successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!
"Something Went Wrong, Please Try Again!","Something Went Wrong, Please Try Again!","¡Algo salió mal. Por favor, vuelva a intentarlo!",حدث خطأ ما. أعد المحاولة من فضلك!
Stripe Api Key Updated Successful,Stripe Api Key Updated Successful,Clave API de Stripe actualizada correctamente,تم تحديث مفتاح Stripe Api بنجاح
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس
Conversion Payable,Conversion Payable,Conversión por pagar,تحويل مستحق الدفع
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Idioma no encontrado!,آسف! لم يتم العثور على اللغة!
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡Idioma no encontrado!,أُووبس! لم يتم العثور على اللغة!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.
Money Out request approved successfully,Money Out request approved successfully,Solicitud de retiro de dinero aprobada exitosamente,تمت الموافقة على طلب صرف الأموال بنجاح
Money Out request rejected successfully,Money Out request rejected successfully,Solicitud de retiro de dinero rechazada exitosamente,تم رفض طلب صرف الأموال بنجاح
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,أقصى
Fixed,Fixed,Fijado,مُثَبَّت
Percent,Percent,Por ciento,نسبه مئويه
Account Name,Account Name,Nombre de la cuenta,إسم الحساب
Account Number,Account Number,Número de cuenta,رقم حساب
Instruction,Instruction,Instrucción,تعليمات
Field Name,Field Name,Nombre del campo,اسم الحقل
Field Types,Field Types,Tipos de campo,أنواع الحقول
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Min Character,Min Character,Carácter mínimo,حرف مين
Max Character,Max Character,Carácter máximo,شخصية ماكس
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Required,Required,Requerido,مطلوب
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya ha sido tomado.,لقد تم بالفعل أخذ اسم البوابة.
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
ex: Paypal,ex: Paypal,Ej: Paypal,على سبيل المثال: باي بال
Currency Name,Currency Name,Nombre de la moneda,اسم العملة
ex: United State Dollar,ex: United State Dollar,Ej: dólar estadounidense,على سبيل المثال: الدولار الأمريكي
Input Text,Input Text,Texto de entrada,أدخل نصآ
File,File,Archivo,ملف
Textarea,Textarea,área de texto,منطقة النص
Image upload Failed! Please try again.,Image upload Failed! Please try again.,¡Falló la carga de la imagen! Inténtalo de nuevo.,فشل تحميل الصورة! حاول مرة اخرى.
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,أُووبس! بوابة الدفع غير موجودة!
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Select State,Select State,Seleccione estado,اختر ولايه
Select City,Select City,Ciudad selecta,اختر مدينة
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!
Select Method,Select Method,Seleccionar método,حدد الطريقة
Instance ID,Instance ID,ID de instancia,معرف المثيل
Primary key,Primary key,Clave primaria,المفتاح الأساسي
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Secret key,Secret key,Llave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
Body,Body,Cuerpo,جسم
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
From Address,From Address,De la Dirección,من العنوان
Email Body,Email Body,Cuerpo del correo electronico,هيئة البريد الإلكتروني
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Deactive,Deactive,Desactivado,غير نشط
Options,Options,Opciones,خيارات
Invalid KYC Or KYC not found!,Invalid KYC Or KYC not found!,KYC no válido o KYC no encontrado.,KYC غير صالح أو لم يتم العثور على KYC!
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!
Page Name,Page Name,Nombre de la página,اسم الصفحة
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Heading,Heading,Título,عنوان
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
Section Updated Successfully!,Section Updated Successfully!,¡Sección actualizada con éxito!,تم تحديث القسم بنجاح!
Banner Image,Banner Image,Imagen de banner,صورة بانر
Primary Button Name,Primary Button Name,Nombre del botón principal,اسم الزر الأساسي
Secondary Button Name,Secondary Button Name,Nombre del botón secundario,اسم الزر الثانوي
Primary Button Link,Primary Button Link,Enlace del botón principal,رابط الزر الأساسي
Button link,Button link,Enlace de botón,رابط الزر
Secondary Button Link,Secondary Button Link,Enlace de botón secundario,رابط الزر الثانوي
Image One,Image One,Imagen uno,الصورة الأولى
Image Two,Image Two,Imagen dos,الصورة الثانية
Image Three,Image Three,Imagen tres,الصورة الثالثة
Image Four,Image Four,Imagen cuatro,الصورة الرابعة
Image Five,Image Five,Imagen cinco,الصورة الخامسة
Image Siz,Image Siz,Tamaño de la imagen,حجم الصورة
Total User,Total User,Usuario total,إجمالي المستخدم
Total Transaction,Total Transaction,Transacción total,إجمالي المعاملة
Play Store Image,Play Store Image,Imagen de Play Store,صورة متجر اللعب
App Store Image,App Store Image,Imagen de la tienda de aplicaciones,صورة متجر التطبيقات
View How It Work,View How It Work,Ver cómo funciona,شاهد كيف يعمل
Section Item Added Successfully!,Section Item Added Successfully!,¡Artículo de sección agregado exitosamente!,تمت إضافة عنصر القسم بنجاح!
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!
Designation,Designation,Designación,تعيين
Rating,Rating,Clasificación,تقييم
Review Rating,Review Rating,Calificación de revisión,مراجعة التقييم
Category Already Exists!,Category Already Exists!,¡La categoría ya existe!,الفئة موجودة بالفعل!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!
Category record not found in our system.,Category record not found in our system.,Registro de categoría no encontrado en nuestro sistema.,لم يتم العثور على سجل الفئة في نظامنا.
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!
Icon,Icon,Icono,أيقونة
Heading Two,Heading Two,Título dos,العنوان الثاني
Sub Heading Two,Sub Heading Two,Subtítulo dos,العنوان الفرعي الثاني
Embed Map,Embed Map,Insertar mapa,تضمين الخريطة
Footer Text,Footer Text,Texto de pie de página,نص التذييل
About Details,About Details,Acerca de los detalles,حول التفاصيل
Newsletter Details,Newsletter Details,Detalles del boletín,تفاصيل النشرة الإخبارية
Social Icon,Social Icon,Icono social,أيقونة الاجتماعية
Link,Link,Enlace,وصلة
Send Test Code,Send Test Code,Enviar código de prueba,إرسال رمز الاختبار
Account SID,Account SID,ID de cuenta,معرف معرف الحساب (SID) للحساب
Auth Token,Auth Token,Token de autenticación,رمز المصادقة
From Number,From Number,Del número,من الرقم
There are no subscriber found!,There are no subscriber found!,¡No se encontraron suscriptores!,لم يتم العثور على مشترك!
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
Subscriber delete successfully!,Subscriber delete successfully!,¡Eliminación del suscriptor exitosamente!,تم حذف المشترك بنجاح!
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está solucionado!,تم حل هذه التذكرة بالفعل!
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!
Page,Page,Página,صفحة
Page added successfully!,Page added successfully!,¡Página agregada exitosamente!,تمت إضافة الصفحة بنجاح!
Page record not found in our system.,Page record not found in our system.,Registro de página no encontrado en nuestro sistema.,سجل الصفحة غير موجود في نظامنا.
Page status updated successfully!,Page status updated successfully!,¡El estado de la página se actualizó exitosamente!,تم تحديث حالة الصفحة بنجاح!
Page deleted successfully!,Page deleted successfully!,¡Página eliminada exitosamente!,تم حذف الصفحة بنجاح!
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
User Status,User Status,Estatus de usuario,حالة المستخدم
2FA Status,2FA Status,Estado 2FA,حالة 2FA
Inactive,Inactive,Inactivo,غير نشط
Remark,Remark,Observación,ملاحظة
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
Oops! User not exists',Oops! User not exists',¡Ups! El usuario no existe',"أُووبس! المستخدم غير موجود"""
Oops! User doesn\'t exists,Oops! User doesn't exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم بالفعل التحقق من المستخدم
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي
Transaction Failed!,Transaction Failed!,¡Transacción fallida!,فشل الاجراء!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
